	log_likelihood
0	281.4966
1	256.37192
2	349.1174
3	243.69331
4	330.99228
5	269.16168
6	293.3065
7	333.8407
8	331.34326
9	307.47162
10	261.61218
11	274.30566
12	257.7874
13	309.93268
14	325.4703
15	310.1951
16	320.64874
17	329.39264
18	305.78476
19	310.60712
20	226.03183
21	308.0058
22	262.61774
23	334.33704
24	282.70764
25	339.7066
26	301.28244
27	326.8866
28	352.9736
29	297.6769
30	300.06268
31	269.54388
32	340.02002
33	341.79532
34	288.00717
35	-20.874826
36	294.16034
37	219.98251
38	262.04083
39	297.11273
40	281.4292
41	306.03818
42	296.56683
43	327.94128
44	239.8774
45	350.86578
46	169.61703
47	295.17645
48	317.4669
49	245.97087
50	361.15735
51	330.36417
52	289.10532
53	283.1521
54	257.74634
55	294.48285
56	292.39032
57	248.13264
58	263.4405
59	312.78085
60	302.6623
61	333.02213
62	232.63736
63	296.25082
64	304.53995
65	264.53748
66	312.87674
67	256.08603
68	265.98785
69	322.5573
70	314.46652
71	330.5581
72	266.0468
73	291.471
74	233.78677
75	286.23242
76	94.39805
77	305.31644
78	274.2832
79	273.74606
80	318.72925
81	277.2923
82	292.9993
83	317.3527
84	325.53247
85	289.9939
86	318.97635
87	315.588
88	328.48904
89	322.3028
90	246.16093
91	268.26123
92	304.54367
93	295.2905
94	318.78302
95	211.88895
96	319.30255
97	300.10696
98	278.5254
99	225.89616
100	135.52116
101	253.1821
102	194.22261
103	350.8271
104	239.64534
105	209.68213
106	289.16217
107	318.5081
108	296.90363
109	299.80374
110	258.45453
111	294.4356
112	298.14282
113	192.33911
114	342.36606
115	349.1437
116	310.54187
117	293.82465
118	325.53262
119	246.85745
120	330.028
121	323.20575
122	308.5398
123	289.48798
124	307.5531
125	288.99045
126	323.63284
127	302.33612
128	275.3979
129	297.73685
130	244.79008
131	357.54816
132	281.22568
133	294.59906
134	346.42682
135	314.9782
136	329.8484
137	288.4942
138	276.52252
139	228.05869
140	69.857025
141	337.3957
142	313.1221
143	287.12863
144	321.8764
145	338.48706
146	203.70557
147	279.9505
148	301.09003
149	318.36285
150	289.28516
151	339.78024
152	345.07953
153	314.971
154	286.9742
155	282.14786
156	53.54706
157	297.5305
158	225.96439
159	314.73544
160	304.98282
161	322.80353
162	261.50153
163	281.08133
164	181.15323
165	306.86407
166	309.8908
167	335.766
168	313.3982
169	308.8501
170	302.07095
171	338.215
172	102.07615
173	270.11182
174	300.6644
175	204.80444
176	312.66214
177	300.25073
178	328.09387
179	287.6505
180	269.12512
181	327.67816
182	273.34662
183	242.67505
184	300.73166
185	305.69244
186	264.89447
187	312.5406
188	334.08942
189	334.60144
190	313.506
191	203.66766
192	281.3409
193	332.55258
194	275.59863
195	291.95178
196	306.39883
197	199.72629
198	207.45879
199	274.31543
200	289.25708
201	332.61304
202	299.94092
203	309.7071
204	338.28043
205	337.7397
206	190.59758
207	318.58844
208	275.7918
209	230.56657
210	305.05646
211	290.51825
212	309.9527
213	261.68036
214	307.21188
215	303.47934
216	338.9751
217	311.3973
218	252.93478
219	314.7022
220	132.34203
221	351.899
222	295.1806
223	326.6184
224	223.86592
225	292.34244
226	283.14618
227	240.99983
228	308.3417
229	299.53192
230	331.19296
231	308.08124
232	280.23718
233	340.07123
234	265.58517
235	284.24835
236	313.08383
237	219.56174
238	319.46594
239	279.77853
240	293.59967
241	283.06787
242	279.41953
243	279.075
244	355.29507
245	233.57454
246	329.35458
247	230.43477
248	314.6269
249	308.76056
250	337.5962
251	332.0819
252	330.07233
253	346.05325
254	310.56622
255	294.41098
256	310.431
257	224.10287
258	260.42957
259	301.7269
260	332.47614
261	219.13211
262	319.05377
263	309.79282
264	290.04166
265	307.10837
266	345.17325
267	315.3011
268	336.22696
269	311.58298
270	314.55417
271	278.68008
272	278.94662
273	170.71388
274	284.61557
275	320.11548
276	306.1442
277	197.56215
278	273.70416
279	353.14087
280	331.19345
281	262.05035
282	318.1257
283	339.44952
284	304.11832
285	314.59415
286	294.11224
287	302.25043
288	326.3252
289	290.31686
290	240.05717
291	289.30035
292	303.11404
293	299.1365
294	294.2514
295	310.2733
296	277.92633
297	355.58057
298	318.69727
299	315.31195
300	321.73648
301	282.12344
302	342.71735
303	336.86774
304	316.99326
305	292.04245
306	327.53558
307	267.88226
308	289.78766
309	297.33463
310	303.88266
311	299.07718
312	313.83072
313	281.5253
314	303.1343
315	279.38168
316	291.65454
317	197.9061
318	166.52275
319	272.8487
320	319.44366
321	258.74493
322	298.9789
323	253.00223
324	298.95416
325	299.44556
326	314.43823
327	315.83047
328	307.18668
329	286.26685
330	311.40546
331	349.46112
332	352.80612
333	286.47565
334	278.1242
335	331.2321
336	297.51263
337	339.1139
338	308.37885
339	311.63095
340	195.52829
341	320.0449
342	308.7545
343	345.75732
344	261.1725
345	358.64218
346	309.12787
347	256.191
348	295.29898
349	280.35126
350	302.62314
351	234.45657
352	303.63135
353	332.0307
354	285.30157
355	314.9049
356	327.78638
357	311.7055
358	299.68054
359	291.08154
360	227.51553
361	315.4068
362	293.50534
363	183.33975
364	241.1674
365	325.74286
366	260.27612
367	324.0937
368	208.77092
369	340.1968
370	314.9391
371	250.56729
372	287.8488
373	280.99738
374	290.68872
375	323.92728
376	287.6111
377	326.8124
378	211.27214
379	239.84456
380	318.30884
381	213.95456
382	347.2668
383	320.55038
384	300.60144
385	307.55563
386	275.42896
387	328.49802
388	227.69296
389	275.3773
390	313.10077
391	333.7325
392	320.4879
393	112.44045
394	351.68546
395	321.98944
396	332.95657
397	230.94678
398	291.30304
399	312.6995
400	334.51523
401	299.8339
402	273.21603
403	305.5063
404	175.1294
405	287.10202
406	311.93515
407	296.0036
408	273.84937
409	339.68253
410	329.04327
411	211.21147
412	194.6608
413	299.6383
414	284.8769
415	347.42816
416	251.92944
417	334.61713
418	185.73935
419	265.28247
