	z_coordinate_0	z_coordinate_1
0	-1.513767	-3.4859726
1	-1.797515	-2.4603686
2	-1.0161451	-3.6279888
3	-5.8044705	-3.0802407
4	-3.3856976	-6.123848
5	-0.9743176	-3.6754954
6	-2.8966506	-6.4381785
7	-4.202952	-3.5191207
8	-4.3123403	-5.17767
9	-3.3923168	-2.724967
10	-3.4730294	-5.693381
11	-2.0866008	-5.6831155
12	-4.122977	-4.233191
13	-2.0331256	-4.7791667
14	-0.8353489	-2.761083
15	-4.831477	-3.2318888
16	-1.8885918	-4.4452615
17	-3.4456778	-3.1653101
18	-0.98644644	-3.6035764
19	-4.027516	-4.8885584
20	-2.0442438	-5.006786
21	-3.7494633	-3.0211585
22	-2.9197576	-1.8887899
23	-4.4238048	-3.3608496
24	-3.584233	-2.3634157
25	-4.1489315	-3.4001553
26	-4.535668	-6.073565
27	-2.8048868	-3.550934
28	-1.0260391	-3.6105993
29	-2.8198557	-6.705131
30	-2.4921916	-6.0460896
31	-4.538133	-6.858157
32	-3.850254	-6.6071053
33	-0.83966565	-3.534259
34	-2.4886746	-5.1489964
35	9.9218	-1.3898163
36	-1.3819053	-3.4852235
37	-5.007385	-5.8571615
38	-0.8680872	-3.41449
39	-7.224857	-2.2663178
40	-4.0534525	-3.64835
41	-3.0681052	-5.6038804
42	-0.18216377	-2.5186205
43	-4.417581	-3.385
44	-2.9072948	-4.9739885
45	-2.0298514	-2.885462
46	-1.2746773	-4.9534955
47	-2.6760063	-3.7632215
48	-2.0927153	-5.5460944
49	-3.003632	-5.7805705
50	-3.7735448	-4.1542916
51	-3.9734535	-5.1184583
52	-6.460445	-5.7958107
53	-4.540855	-6.7972865
54	-2.6095955	-6.8086057
55	-1.5870895	-2.6117861
56	-4.3294024	-6.082688
57	-2.4395928	-5.297829
58	-1.7460442	-4.8454566
59	-3.5449722	-7.420382
60	-3.7956126	-5.8390756
61	-2.1035419	-4.9402547
62	-1.2163551	-4.930592
63	-1.6894407	-4.8853602
64	-2.1858354	-3.7084088
65	-4.403538	-5.904244
66	-3.716751	-6.0930266
67	-4.131864	-3.678098
68	-0.6728845	-3.2278938
69	-4.814235	-4.667194
70	-2.7716894	-3.0547807
71	-1.4272391	-3.0953648
72	-5.9132223	-4.4832907
73	-3.6466346	-2.5560617
74	-5.7098775	1.8094378
75	-1.0255053	-2.7874439
76	11.883914	-10.8623085
77	-2.6497362	-6.518556
78	-2.7092047	-4.3356266
79	-3.6686983	-2.493646
80	-5.437056	-5.500092
81	-2.6206925	-4.653788
82	-5.9256783	-6.385924
83	-3.1949883	-7.2634974
84	-3.1249135	-3.158172
85	-4.4206705	-5.4049973
86	-5.8721585	-5.0903535
87	-1.2796865	-3.1943378
88	-4.150494	-6.0516276
89	-1.8219941	-4.945618
90	-4.65102	-7.5456815
91	-3.9280057	-5.555718
92	-2.006006	-4.98704
93	-3.0585105	-6.9076753
94	-3.6894202	-5.092651
95	-2.7447276	-7.5412936
96	-0.9344656	-3.609297
97	-5.5792184	-6.8799005
98	-3.7140226	-6.08799
99	-1.1796384	-3.463732
100	-6.906504	-6.3149524
101	-0.9393888	-2.4941063
102	-9.456694	-6.917685
103	-0.95838124	-3.3970158
104	-2.750883	-6.5493817
105	-1.2812288	-5.3622212
106	-3.1744545	-7.5165954
107	-4.728895	-5.702296
108	-2.851027	-7.609738
109	-1.0436375	-2.7913625
110	-3.7092273	-7.8625903
111	-2.8023539	-4.9236484
112	-3.6891284	-4.524901
113	-0.5126195	-3.7533896
114	-2.4211197	-3.1846688
115	-4.410053	-3.5778039
116	-0.98718876	-3.223033
117	-1.1262648	-3.5653806
118	-4.11101	-3.3961234
119	-1.6205078	-5.3510003
120	-3.530827	-4.138086
121	-3.5263345	-7.2340655
122	-4.3271375	-6.801473
123	-0.029954242	-2.9616199
124	-0.9485113	-3.3644154
125	-6.7727704	-7.104075
126	-3.37227	-4.462991
127	-3.8791137	-2.698558
128	-0.78952664	-3.8537982
129	-3.3886142	-7.1358175
130	-0.63079363	-3.8977854
131	-1.280874	-3.1978874
132	-5.0175223	-3.6399071
133	-1.8941891	-5.027291
134	-1.9334539	-4.277951
135	-3.8839145	-3.3219068
136	-2.9725225	-3.948333
137	-0.99078125	-2.7475865
138	-3.2005503	-6.7427826
139	-4.2940683	-7.431702
140	11.795672	-11.016551
141	-4.024636	-3.954456
142	-1.5222937	-5.4593883
143	-2.5777924	-6.2878757
144	-3.8323734	-3.7584736
145	-2.2683506	-4.0818524
146	0.32488972	1.4365392
147	-3.3064117	-5.7997527
148	-1.0856261	-3.5391867
149	-3.9710307	-5.8319335
150	-3.3023636	-7.3898196
151	-1.752401	-4.9172473
152	-3.8053713	-3.8699567
153	-3.3725479	-5.849238
154	-4.6225944	-5.617987
155	-3.1572156	-5.683828
156	11.824011	-10.928853
157	-0.790078	-3.2637322
158	-3.9698186	-6.8656645
159	-1.6809878	-4.5532775
160	-5.844259	-6.5569315
161	-3.881705	-6.19418
162	-0.71434164	-3.170153
163	-0.92095584	-2.7802536
164	0.8732862	-7.3032947
165	-1.7391133	-4.735006
166	-2.3707008	-2.4268003
167	-1.7492528	-5.192427
168	-3.57829	-4.1764917
169	-1.0617834	-2.855282
170	-1.0506794	-2.7329352
171	-4.644665	-3.5486887
172	-4.7646155	-8.529045
173	-3.8140047	-6.043486
174	-4.6998224	-4.8838773
175	-7.1120863	-4.9732027
176	-4.0636754	-3.3432255
177	-1.7497152	-4.9927816
178	-3.8480663	-6.4436703
179	-4.8317037	-3.314309
180	-3.8026056	-6.4949775
181	-4.0029907	-3.7730548
182	-4.28513	-4.59841
183	-4.204346	-7.5430183
184	-3.2402637	-2.7505453
185	-3.3382068	-2.5536778
186	-5.545072	-4.131445
187	-1.8845379	-3.5162427
188	-2.3456435	-2.9900196
189	-2.232225	-4.1316075
190	-1.4416234	-2.6247923
191	-1.2531062	-7.3578386
192	-2.8492844	-6.3036647
193	-1.5602394	-2.7817318
194	-3.4066305	-6.8611336
195	-4.629877	-6.4623647
196	-4.262666	-5.597974
197	4.4603543	1.6156411
198	-3.4999397	-6.5324993
199	-3.2502809	-2.27482
200	-2.6125395	-6.2520943
201	-1.5038546	-4.6334515
202	-4.195789	-6.2945104
203	-3.959037	-4.1084533
204	-2.2408967	-4.7467704
205	-3.4186873	-5.3445888
206	-2.4889634	2.2723348
207	-0.22054632	-3.5169597
208	-6.3548446	-5.197859
209	-3.281557	-3.5101893
210	-4.9889684	-6.313188
211	-2.9890509	-5.0307198
212	-2.7601962	-6.7225633
213	-3.7204213	-7.1910405
214	-4.2886453	-6.7644362
215	-2.1531308	-5.637584
216	-1.061972	-3.6148202
217	-2.3858974	-6.0242877
218	-1.0476687	-5.907124
219	-2.925465	-2.6620715
220	-9.293218	-7.598269
221	-1.8731211	-4.399736
222	-3.8416247	-5.655317
223	-1.782454	-4.744208
224	-3.1005921	-4.137137
225	-1.222977	-3.5371737
226	-0.9458809	-3.3088434
227	-0.78240865	-3.256079
228	-3.6924047	-5.888335
229	-2.896716	-6.020729
230	-1.2747788	-3.465254
231	-4.9448175	-3.1860354
232	-3.4095585	-5.3537755
233	-4.5889997	-3.5818255
234	-4.6485543	-7.3704643
235	-1.4041854	-3.5671496
236	-0.58089703	-3.5546536
237	-9.860452	-2.4765444
238	-3.9103732	-2.9096136
239	-1.5047972	-5.339852
240	-1.1515881	-2.592372
241	-5.1834717	-4.054193
242	-2.73658	-5.0360656
243	-1.6058943	-4.932134
244	-1.2914708	-3.1841605
245	-0.61312544	-3.4954145
246	-3.860394	-6.307536
247	-2.9326026	-5.7039113
248	-3.823803	-5.535401
249	-3.9834704	-5.067284
250	-3.1777039	-2.702843
251	-1.8615971	-5.076337
252	-3.5279632	-5.181665
253	-0.97259885	-3.3355434
254	-2.5679274	-3.0705326
255	-4.115685	-3.9120166
256	-1.0889425	-2.7831361
257	-8.178282	-6.3889065
258	-1.6521664	-5.1868577
259	-3.6816826	-2.5035524
260	-4.470719	-3.3480263
261	-6.7713637	-7.2741885
262	-0.39318502	-3.316261
263	-0.39262742	-3.2140653
264	-0.5885956	-3.361004
265	-1.8756891	-5.0638785
266	-1.2613493	-3.734691
267	-3.5141206	-5.1473346
268	-0.9678244	-3.2831388
269	-3.9651084	-4.016436
270	-3.4424655	-4.064319
271	-2.177017	-4.996592
272	-6.000617	-5.2446704
273	-3.7452912	-3.9455116
274	-2.194125	-4.834459
275	-3.2215672	-2.8727455
276	-3.3574963	-7.1700635
277	-3.2184162	-6.0522494
278	-1.5327677	-3.874822
279	-0.9799842	-3.5072942
280	-2.0960479	-4.9150796
281	-5.416355	-4.02868
282	-1.7337677	-4.8834324
283	-1.2225329	-3.7282188
284	-2.730606	-5.8519187
285	-3.4403794	-2.5834587
286	-5.312316	-4.9511147
287	-3.2713137	-2.678038
288	-1.0847237	-3.2932696
289	-4.1545258	-5.9844003
290	-1.1733721	-3.8851917
291	-3.453681	-1.9887061
292	-1.8622456	-3.9651449
293	-1.5889459	-4.438648
294	-4.2210274	-6.729914
295	-4.8498125	-5.630161
296	-5.4473844	-5.96539
297	-1.9421006	-4.6139345
298	-3.922708	-5.6097674
299	-3.9084516	-3.1469207
300	-3.9688783	-3.9059007
301	-1.398592	-3.0294063
302	-1.4058638	-4.3913045
303	-1.7851918	-4.6372256
